"Row","Date","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","Month","Year","Ozone","PM2.5"
443,2018-10-04,"Linville Falls","Avery",35.972347,-81.933072,10,2018,35,NA
444,2018-10-05,"Linville Falls","Avery",35.972347,-81.933072,10,2018,28,NA
445,2018-10-06,"Linville Falls","Avery",35.972347,-81.933072,10,2018,37,NA
446,2018-10-07,"Linville Falls","Avery",35.972347,-81.933072,10,2018,32,NA
447,2018-10-08,"Linville Falls","Avery",35.972347,-81.933072,10,2018,36,NA
448,2018-10-09,"Linville Falls","Avery",35.972347,-81.933072,10,2018,33,NA
449,2018-10-10,"Linville Falls","Avery",35.972347,-81.933072,10,2018,20,NA
450,2018-10-11,"Linville Falls","Avery",35.972347,-81.933072,10,2018,28,NA
451,2018-10-12,"Linville Falls","Avery",35.972347,-81.933072,10,2018,40,NA
452,2018-10-13,"Linville Falls","Avery",35.972347,-81.933072,10,2018,33,NA
453,2018-10-14,"Linville Falls","Avery",35.972347,-81.933072,10,2018,31,NA
454,2018-10-15,"Linville Falls","Avery",35.972347,-81.933072,10,2018,35,NA
455,2018-10-16,"Linville Falls","Avery",35.972347,-81.933072,10,2018,23,NA
456,2018-10-17,"Linville Falls","Avery",35.972347,-81.933072,10,2018,36,NA
457,2018-10-18,"Linville Falls","Avery",35.972347,-81.933072,10,2018,35,NA
458,2018-10-19,"Linville Falls","Avery",35.972347,-81.933072,10,2018,41,NA
459,2018-10-20,"Linville Falls","Avery",35.972347,-81.933072,10,2018,36,NA
460,2018-10-22,"Linville Falls","Avery",35.972347,-81.933072,10,2018,35,NA
461,2018-10-24,"Linville Falls","Avery",35.972347,-81.933072,10,2018,41,NA
462,2018-10-25,"Linville Falls","Avery",35.972347,-81.933072,10,2018,31,NA
463,2018-10-26,"Linville Falls","Avery",35.972347,-81.933072,10,2018,36,NA
464,2018-10-27,"Linville Falls","Avery",35.972347,-81.933072,10,2018,33,NA
465,2018-10-28,"Linville Falls","Avery",35.972347,-81.933072,10,2018,39,NA
466,2018-10-29,"Linville Falls","Avery",35.972347,-81.933072,10,2018,37,NA
467,2018-10-30,"Linville Falls","Avery",35.972347,-81.933072,10,2018,36,NA
468,2018-10-31,"Linville Falls","Avery",35.972347,-81.933072,10,2018,45,NA
2177,2018-03-01,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,37,NA
2178,2018-03-02,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,42,NA
2179,2018-03-03,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,43,NA
2180,2018-03-04,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,44,NA
2181,2018-03-05,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,42,NA
2182,2018-03-06,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,24,NA
2183,2018-03-07,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,33,NA
2184,2018-03-08,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,38,NA
2185,2018-03-09,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,41,NA
2186,2018-03-10,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,18,NA
2187,2018-03-11,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,30,NA
2188,2018-03-12,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,36,NA
2189,2018-03-13,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,43,NA
2190,2018-03-14,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,42,NA
2191,2018-03-15,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,51,NA
2192,2018-03-16,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,49,NA
2193,2018-03-17,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,45,NA
2194,2018-03-18,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,44,NA
2195,2018-03-19,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,43,NA
2196,2018-03-20,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,32,NA
2197,2018-03-21,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,31,NA
2198,2018-03-22,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,42,NA
2199,2018-03-23,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,47,NA
2200,2018-03-24,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,41,NA
2201,2018-03-25,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,44,NA
2202,2018-03-26,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,43,NA
2203,2018-03-27,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,34,NA
2204,2018-03-28,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,43,NA
2205,2018-03-29,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,49,NA
2206,2018-03-30,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,40,NA
2207,2018-03-31,"Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,46,NA
2208,2018-04-01,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,47,NA
2209,2018-04-02,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,48,NA
2210,2018-04-03,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,38,NA
2211,2018-04-04,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,42,NA
2212,2018-04-05,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,45,NA
2213,2018-04-06,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,51,NA
2214,2018-04-07,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,44,NA
2215,2018-04-08,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,42,NA
2216,2018-04-09,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,45,NA
2217,2018-04-10,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,44,NA
2218,2018-04-11,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,48,NA
2219,2018-04-12,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,54,NA
2220,2018-04-13,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,51,NA
2221,2018-04-14,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,48,NA
2222,2018-04-15,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,36,NA
2223,2018-04-16,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,32,NA
2224,2018-04-17,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,48,NA
2225,2018-04-18,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,58,NA
2226,2018-04-19,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,46,NA
2227,2018-04-20,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,54,NA
2228,2018-04-21,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,77,NA
2229,2018-04-22,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,64,NA
2230,2018-04-23,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,47,NA
2231,2018-04-24,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,39,NA
2232,2018-04-25,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,29,NA
2233,2018-04-26,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,44,NA
2234,2018-04-27,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,45,NA
2235,2018-04-28,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,71,NA
2236,2018-04-29,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,44,NA
2237,2018-04-30,"Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,51,NA
2238,2018-05-01,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,64,NA
2239,2018-05-02,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,71,NA
2240,2018-05-03,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,51,NA
2241,2018-05-04,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,47,NA
2242,2018-05-05,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,45,NA
2243,2018-05-06,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,36,NA
2244,2018-05-07,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,43,NA
2245,2018-05-08,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,47,NA
2246,2018-05-09,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,58,NA
2247,2018-05-10,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,51,NA
2248,2018-05-11,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,71,NA
2249,2018-05-12,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,80,NA
2250,2018-05-13,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,54,NA
2251,2018-05-15,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,25,NA
2252,2018-05-16,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,33,NA
2253,2018-05-17,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,30,NA
2254,2018-05-18,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,31,NA
2255,2018-05-19,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,21,NA
2256,2018-05-20,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,31,NA
2257,2018-05-21,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,38,NA
2258,2018-05-22,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,29,NA
2259,2018-05-23,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,42,NA
2260,2018-05-24,"Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,45,NA
